                               Labor Force Data by County, 2021 Annual Averages

                 State  County
                 FIPS   FIPS                                                                  Labor                     Unemployed
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN1711700000000   17     117   Macoupin County, IL                               2021        21,984       20,988        996      4.5
CN1711900000000   17     119   Madison County, IL                                2021       130,828      124,425      6,403      4.9
CN1712100000000   17     121   Marion County, IL                                 2021        16,810       15,835        975      5.8
CN1712300000000   17     123   Marshall County, IL                               2021         5,092        4,806        286      5.6
CN1712500000000   17     125   Mason County, IL                                  2021         5,904        5,584        320      5.4
CN1712700000000   17     127   Massac County, IL                                 2021         5,368        5,059        309      5.8
CN1712900000000   17     129   Menard County, IL                                 2021         6,145        5,893        252      4.1
CN1713100000000   17     131   Mercer County, IL                                 2021         7,555        7,184        371      4.9
CN1713300000000   17     133   Monroe County, IL                                 2021        18,465       17,886        579      3.1
CN1713500000000   17     135   Montgomery County, IL                             2021        11,279       10,668        611      5.4
CN1713700000000   17     137   Morgan County, IL                                 2021        15,739       14,958        781      5.0
CN1713900000000   17     139   Moultrie County, IL                               2021         7,337        7,077        260      3.5
CN1714100000000   17     141   Ogle County, IL                                   2021        23,645       22,277      1,368      5.8
CN1714300000000   17     143   Peoria County, IL                                 2021        82,725       76,764      5,961      7.2
CN1714500000000   17     145   Perry County, IL                                  2021         7,928        7,472        456      5.8
CN1714700000000   17     147   Piatt County, IL                                  2021         8,495        8,153        342      4.0
CN1714900000000   17     149   Pike County, IL                                   2021         6,787        6,510        277      4.1
CN1715100000000   17     151   Pope County, IL                                   2021         1,676        1,591         85      5.1
CN1715300000000   17     153   Pulaski County, IL                                2021         1,702        1,544        158      9.3
CN1715500000000   17     155   Putnam County, IL                                 2021         2,956        2,808        148      5.0
CN1715700000000   17     157   Randolph County, IL                               2021        13,674       13,082        592      4.3
CN1715900000000   17     159   Richland County, IL                               2021         7,057        6,753        304      4.3
CN1716100000000   17     161   Rock Island County, IL                            2021        67,709       63,924      3,785      5.6
CN1716300000000   17     163   St. Clair County, IL                              2021       123,792      116,222      7,570      6.1
CN1716500000000   17     165   Saline County, IL                                 2021         9,274        8,661        613      6.6
CN1716700000000   17     167   Sangamon County, IL                               2021        97,844       92,423      5,421      5.5
CN1716900000000   17     169   Schuyler County, IL                               2021         3,150        3,026        124      3.9
CN1717100000000   17     171   Scott County, IL                                  2021         2,296        2,179        117      5.1
CN1717300000000   17     173   Shelby County, IL                                 2021        10,192        9,768        424      4.2
CN1717500000000   17     175   Stark County, IL                                  2021         2,362        2,233        129      5.5
CN1717700000000   17     177   Stephenson County, IL                             2021        20,851       19,705      1,146      5.5
CN1717900000000   17     179   Tazewell County, IL                               2021        61,358       58,305      3,053      5.0
CN1718100000000   17     181   Union County, IL                                  2021         7,169        6,763        406      5.7
CN1718300000000   17     183   Vermilion County, IL                              2021        31,753       29,689      2,064      6.5
CN1718500000000   17     185   Wabash County, IL                                 2021         5,409        5,165        244      4.5
CN1718700000000   17     187   Warren County, IL                                 2021         7,782        7,425        357      4.6
CN1718900000000   17     189   Washington County, IL                             2021         9,551        9,264        287      3.0
CN1719100000000   17     191   Wayne County, IL                                  2021         6,766        6,449        317      4.7
CN1719300000000   17     193   White County, IL                                  2021         5,956        5,660        296      5.0
CN1719500000000   17     195   Whiteside County, IL                              2021        27,339       26,015      1,324      4.8
CN1719700000000   17     197   Will County, IL                                   2021       354,842      334,452     20,390      5.7
CN1719900000000   17     199   Williamson County, IL                             2021        31,145       29,419      1,726      5.5
CN1720100000000   17     201   Winnebago County, IL                              2021       133,417      122,161     11,256      8.4
CN1720300000000   17     203   Woodford County, IL                               2021        18,001       17,289        712      4.0
CN1800100000000   18     001   Adams County, IN                                  2021        16,691       16,326        365      2.2
CN1800300000000   18     003   Allen County, IN                                  2021       184,097      177,326      6,771      3.7
CN1800500000000   18     005   Bartholomew County, IN                            2021        42,821       41,594      1,227      2.9
CN1800700000000   18     007   Benton County, IN                                 2021         4,199        4,085        114      2.7
CN1800900000000   18     009   Blackford County, IN                              2021         4,685        4,512        173      3.7
CN1801100000000   18     011   Boone County, IN                                  2021        36,964       36,190        774      2.1
CN1801300000000   18     013   Brown County, IN                                  2021         7,637        7,389        248      3.2
CN1801500000000   18     015   Carroll County, IN                                2021         9,497        9,219        278      2.9
CN1801700000000   18     017   Cass County, IN                                   2021        17,216       16,594        622      3.6
CN1801900000000   18     019   Clark County, IN                                  2021        61,556       59,580      1,976      3.2
CN1802100000000   18     021   Clay County, IN                                   2021        11,473       11,063        410      3.6
CN1802300000000   18     023   Clinton County, IN                                2021        16,723       16,261        462      2.8
CN1802500000000   18     025   Crawford County, IN                               2021         4,788        4,613        175      3.7
CN1802700000000   18     027   Daviess County, IN                                2021        16,405       16,030        375      2.3
CN1802900000000   18     029   Dearborn County, IN                               2021        25,257       24,500        757      3.0
CN1803100000000   18     031   Decatur County, IN                                2021        14,786       14,368        418      2.8
CN1803300000000   18     033   DeKalb County, IN                                 2021        22,028       21,434        594      2.7
CN1803500000000   18     035   Delaware County, IN                               2021        51,868       49,842      2,026      3.9
CN1803700000000   18     037   Dubois County, IN                                 2021        22,020       21,490        530      2.4
CN1803900000000   18     039   Elkhart County, IN                                2021       115,907      113,007      2,900      2.5
CN1804100000000   18     041   Fayette County, IN                                2021         8,393        8,023        370      4.4
CN1804300000000   18     043   Floyd County, IN                                  2021        41,370       40,221      1,149      2.8
CN1804500000000   18     045   Fountain County, IN                               2021         7,628        7,409        219      2.9
CN1804700000000   18     047   Franklin County, IN                               2021        11,196       10,893        303      2.7
CN1804900000000   18     049   Fulton County, IN                                 2021         9,445        9,133        312      3.3
CN1805100000000   18     051   Gibson County, IN                                 2021        19,133       18,653        480      2.5
CN1805300000000   18     053   Grant County, IN                                  2021        31,094       29,939      1,155      3.7
CN1805500000000   18     055   Greene County, IN                                 2021        13,423       12,967        456      3.4
CN1805700000000   18     057   Hamilton County, IN                               2021       188,744      184,603      4,141      2.2
CN1805900000000   18     059   Hancock County, IN                                2021        41,318       40,259      1,059      2.6
CN1806100000000   18     061   Harrison County, IN                               2021        20,019       19,485        534      2.7
CN1806300000000   18     063   Hendricks County, IN                              2021        91,963       89,665      2,298      2.5
CN1806500000000   18     065   Henry County, IN                                  2021        21,673       20,971        702      3.2
CN1806700000000   18     067   Howard County, IN                                 2021        34,727       32,591      2,136      6.2
CN1806900000000   18     069   Huntington County, IN                             2021        18,004       17,472        532      3.0
CN1807100000000   18     071   Jackson County, IN                                2021        23,214       22,522        692      3.0
CN1807300000000   18     073   Jasper County, IN                                 2021        15,355       14,814        541      3.5
CN1807500000000   18     075   Jay County, IN                                    2021         8,746        8,512        234      2.7
CN1807700000000   18     077   Jefferson County, IN                              2021        14,891       14,422        469      3.1
CN1807900000000   18     079   Jennings County, IN                               2021        13,342       12,852        490      3.7
CN1808100000000   18     081   Johnson County, IN                                2021        84,093       81,932      2,161      2.6
CN1808300000000   18     083   Knox County, IN                                   2021        18,090       17,576        514      2.8
CN1808500000000   18     085   Kosciusko County, IN                              2021        40,499       39,392      1,107      2.7
CN1808700000000   18     087   LaGrange County, IN                               2021        20,421       20,017        404      2.0
CN1808900000000   18     089   Lake County, IN                                   2021       222,818      209,298     13,520      6.1
CN1809100000000   18     091   LaPorte County, IN                                2021        46,208       43,873      2,335      5.1
CN1809300000000   18     093   Lawrence County, IN                               2021        20,729       20,007        722      3.5
CN1809500000000   18     095   Madison County, IN                                2021        58,663       56,257      2,406      4.1
CN1809700000000   18     097   Marion County, IN                                 2021       497,073      474,976     22,097      4.4
CN1809900000000   18     099   Marshall County, IN                               2021        22,445       21,850        595      2.7
CN1810100000000   18     101   Martin County, IN                                 2021         5,389        5,252        137      2.5
CN1810300000000   18     103   Miami County, IN                                  2021        14,721       14,076        645      4.4
CN1810500000000   18     105   Monroe County, IN                                 2021        69,181       67,166      2,015      2.9
CN1810700000000   18     107   Montgomery County, IN                             2021        18,414       17,933        481      2.6
CN1810900000000   18     109   Morgan County, IN                                 2021        36,205       35,153      1,052      2.9
CN1811100000000   18     111   Newton County, IN                                 2021         6,526        6,280        246      3.8
CN1811300000000   18     113   Noble County, IN                                  2021        21,988       21,273        715      3.3
CN1811500000000   18     115   Ohio County, IN                                   2021         3,121        3,042         79      2.5
CN1811700000000   18     117   Orange County, IN                                 2021         8,149        7,804        345      4.2
CN1811900000000   18     119   Owen County, IN                                   2021         9,156        8,830        326      3.6
CN1812100000000   18     121   Parke County, IN                                  2021         6,916        6,715        201      2.9
CN1812300000000   18     123   Perry County, IN                                  2021         8,766        8,495        271      3.1
CN1812500000000   18     125   Pike County, IN                                   2021         5,782        5,586        196      3.4
CN1812700000000   18     127   Porter County, IN                                 2021        83,182       79,974      3,208      3.9
CN1812900000000   18     129   Posey County, IN                                  2021        12,821       12,484        337      2.6
CN1813100000000   18     131   Pulaski County, IN                                2021         6,276        6,091        185      2.9
CN1813300000000   18     133   Putnam County, IN                                 2021        16,353       15,854        499      3.1
CN1813500000000   18     135   Randolph County, IN                               2021        11,874       11,524        350      2.9
CN1813700000000   18     137   Ripley County, IN                                 2021        13,534       13,159        375      2.8
CN1813900000000   18     139   Rush County, IN                                   2021         8,755        8,511        244      2.8
CN1814100000000   18     141   St. Joseph County, IN                             2021       130,947      125,454      5,493      4.2
CN1814300000000   18     143   Scott County, IN                                  2021        10,362        9,961        401      3.9
CN1814500000000   18     145   Shelby County, IN                                 2021        23,037       22,337        700      3.0
CN1814700000000   18     147   Spencer County, IN                                2021        10,418       10,133        285      2.7
CN1814900000000   18     149   Starke County, IN                                 2021         9,555        9,142        413      4.3
CN1815100000000   18     151   Steuben County, IN                                2021        19,886       19,386        500      2.5
CN1815300000000   18     153   Sullivan County, IN                               2021         7,836        7,535        301      3.8
CN1815500000000   18     155   Switzerland County, IN                            2021         4,666        4,505        161      3.5
CN1815700000000   18     157   Tippecanoe County, IN                             2021        93,208       90,171      3,037      3.3
CN1815900000000   18     159   Tipton County, IN                                 2021         8,960        8,691        269      3.0
CN1816100000000   18     161   Union County, IN                                  2021         3,471        3,389         82      2.4
CN1816300000000   18     163   Vanderburgh County, IN                            2021        91,401       88,095      3,306      3.6
CN1816500000000   18     165   Vermillion County, IN                             2021         6,480        6,222        258      4.0
CN1816700000000   18     167   Vigo County, IN                                   2021        45,481       43,523      1,958      4.3
CN1816900000000   18     169   Wabash County, IN                                 2021        14,406       13,986        420      2.9
CN1817100000000   18     171   Warren County, IN                                 2021         3,973        3,870        103      2.6
CN1817300000000   18     173   Warrick County, IN                                2021        31,859       31,028        831      2.6
CN1817500000000   18     175   Washington County, IN                             2021        13,510       13,088        422      3.1
CN1817700000000   18     177   Wayne County, IN                                  2021        29,433       28,379      1,054      3.6
CN1817900000000   18     179   Wells County, IN                                  2021        13,851       13,496        355      2.6
CN1818100000000   18     181   White County, IN                                  2021        13,117       12,775        342      2.6
CN1818300000000   18     183   Whitley County, IN                                2021        17,253       16,793        460      2.7
CN1900100000000   19     001   Adair County, IA                                  2021         4,307        4,174        133      3.1
CN1900300000000   19     003   Adams County, IA                                  2021         2,027        1,966         61      3.0
CN1900500000000   19     005   Allamakee County, IA                              2021         7,039        6,718        321      4.6
CN1900700000000   19     007   Appanoose County, IA                              2021         5,961        5,706        255      4.3
CN1900900000000   19     009   Audubon County, IA                                2021         3,034        2,938         96      3.2
CN1901100000000   19     011   Benton County, IA                                 2021        12,847       12,274        573      4.5
CN1901300000000   19     013   Black Hawk County, IA                             2021        67,282       64,194      3,088      4.6
CN1901500000000   19     015   Boone County, IA                                  2021        14,563       14,056        507      3.5
CN1901700000000   19     017   Bremer County, IA                                 2021        13,793       13,351        442      3.2
CN1901900000000   19     019   Buchanan County, IA                               2021        11,178       10,764        414      3.7
CN1902100000000   19     021   Buena Vista County, IA                            2021        11,628       11,260        368      3.2
CN1902300000000   19     023   Butler County, IA                                 2021         7,883        7,587        296      3.8
CN1902500000000   19     025   Calhoun County, IA                                2021         4,061        3,901        160      3.9
CN1902700000000   19     027   Carroll County, IA                                2021        10,559       10,232        327      3.1
CN1902900000000   19     029   Cass County, IA                                   2021         6,768        6,520        248      3.7
CN1903100000000   19     031   Cedar County, IA                                  2021        10,351        9,962        389      3.8
CN1903300000000   19     033   Cerro Gordo County, IA                            2021        22,505       21,534        971      4.3
CN1903500000000   19     035   Cherokee County, IA                               2021         6,119        5,912        207      3.4
CN1903700000000   19     037   Chickasaw County, IA                              2021         6,373        6,146        227      3.6
CN1903900000000   19     039   Clarke County, IA                                 2021         4,833        4,624        209      4.3
CN1904100000000   19     041   Clay County, IA                                   2021         8,479        8,170        309      3.6
CN1904300000000   19     043   Clayton County, IA                                2021         9,632        9,139        493      5.1
CN1904500000000   19     045   Clinton County, IA                                2021        21,967       20,798      1,169      5.3
CN1904700000000   19     047   Crawford County, IA                               2021         7,867        7,460        407      5.2
CN1904900000000   19     049   Dallas County, IA                                 2021        51,851       50,351      1,500      2.9
CN1905100000000   19     051   Davis County, IA                                  2021         4,168        4,029        139      3.3
CN1905300000000   19     053   Decatur County, IA                                2021         4,271        4,128        143      3.3
CN1905500000000   19     055   Delaware County, IA                               2021        10,412       10,067        345      3.3
CN1905700000000   19     057   Des Moines County, IA                             2021        18,427       17,262      1,165      6.3
CN1905900000000   19     059   Dickinson County, IA                              2021        10,128        9,728        400      3.9
CN1906100000000   19     061   Dubuque County, IA                                2021        54,963       52,531      2,432      4.4
CN1906300000000   19     063   Emmet County, IA                                  2021         4,928        4,727        201      4.1
CN1906500000000   19     065   Fayette County, IA                                2021        10,172        9,694        478      4.7
CN1906700000000   19     067   Floyd County, IA                                  2021         8,197        7,843        354      4.3
CN1906900000000   19     069   Franklin County, IA                               2021         5,617        5,407        210      3.7
CN1907100000000   19     071   Fremont County, IA                                2021         3,720        3,613        107      2.9
CN1907300000000   19     073   Greene County, IA                                 2021         5,336        5,152        184      3.4
CN1907500000000   19     075   Grundy County, IA                                 2021         6,337        6,106        231      3.6
CN1907700000000   19     077   Guthrie County, IA                                2021         5,491        5,258        233      4.2
CN1907900000000   19     079   Hamilton County, IA                               2021         6,826        6,538        288      4.2
CN1908100000000   19     081   Hancock County, IA                                2021         5,718        5,500        218      3.8
CN1908300000000   19     083   Hardin County, IA                                 2021         7,790        7,466        324      4.2
CN1908500000000   19     085   Harrison County, IA                               2021         7,029        6,755        274      3.9
CN1908700000000   19     087   Henry County, IA                                  2021         9,502        9,104        398      4.2
CN1908900000000   19     089   Howard County, IA                                 2021         5,126        4,930        196      3.8
CN1909100000000   19     091   Humboldt County, IA                               2021         4,946        4,775        171      3.5
CN1909300000000   19     093   Ida County, IA                                    2021         3,978        3,852        126      3.2
CN1909500000000   19     095   Iowa County, IA                                   2021         9,966        9,590        376      3.8
CN1909700000000   19     097   Jackson County, IA                                2021        10,589       10,059        530      5.0
CN1909900000000   19     099   Jasper County, IA                                 2021        19,128       18,299        829      4.3
CN1910100000000   19     101   Jefferson County, IA                              2021         9,849        9,435        414      4.2
CN1910300000000   19     103   Johnson County, IA                                2021        84,310       81,160      3,150      3.7
CN1910500000000   19     105   Jones County, IA                                  2021        10,185        9,728        457      4.5
CN1910700000000   19     107   Keokuk County, IA                                 2021         5,181        4,953        228      4.4
CN1910900000000   19     109   Kossuth County, IA                                2021         8,089        7,824        265      3.3
CN1911100000000   19     111   Lee County, IA                                    2021        15,340       14,431        909      5.9
CN1911300000000   19     113   Linn County, IA                                   2021       118,805      112,825      5,980      5.0
CN1911500000000   19     115   Louisa County, IA                                 2021         5,903        5,650        253      4.3
CN1911700000000   19     117   Lucas County, IA                                  2021         4,606        4,463        143      3.1
CN1911900000000   19     119   Lyon County, IA                                   2021         6,941        6,782        159      2.3
CN1912100000000   19     121   Madison County, IA                                2021         8,486        8,105        381      4.5
CN1912300000000   19     123   Mahaska County, IA                                2021        11,953       11,512        441      3.7
CN1912500000000   19     125   Marion County, IA                                 2021        18,549       17,970        579      3.1
CN1912700000000   19     127   Marshall County, IA                               2021        17,329       16,207      1,122      6.5
CN1912900000000   19     129   Mills County, IA                                  2021         6,992        6,749        243      3.5
CN1913100000000   19     131   Mitchell County, IA                               2021         5,812        5,636        176      3.0
CN1913300000000   19     133   Monona County, IA                                 2021         4,416        4,222        194      4.4
CN1913500000000   19     135   Monroe County, IA                                 2021         3,946        3,784        162      4.1
CN1913700000000   19     137   Montgomery County, IA                             2021         4,880        4,679        201      4.1
CN1913900000000   19     139   Muscatine County, IA                              2021        20,871       19,890        981      4.7
CN1914100000000   19     141   O'Brien County, IA                                2021         8,082        7,837        245      3.0
CN1914300000000   19     143   Osceola County, IA                                2021         3,530        3,445         85      2.4
CN1914500000000   19     145   Page County, IA                                   2021         6,279        6,022        257      4.1
CN1914700000000   19     147   Palo Alto County, IA                              2021         4,486        4,336        150      3.3
CN1914900000000   19     149   Plymouth County, IA                               2021        14,441       14,005        436      3.0
CN1915100000000   19     151   Pocahontas County, IA                             2021         4,228        4,099        129      3.1
CN1915300000000   19     153   Polk County, IA                                   2021       267,873      255,823     12,050      4.5
CN1915500000000   19     155   Pottawattamie County, IA                          2021        47,038       45,036      2,002      4.3
CN1915700000000   19     157   Poweshiek County, IA                              2021        10,031        9,586        445      4.4
CN1915900000000   19     159   Ringgold County, IA                               2021         2,383        2,303         80      3.4
CN1916100000000   19     161   Sac County, IA                                    2021         5,209        5,036        173      3.3
CN1916300000000   19     163   Scott County, IA                                  2021        87,116       82,382      4,734      5.4
CN1916500000000   19     165   Shelby County, IA                                 2021         6,327        6,124        203      3.2
CN1916700000000   19     167   Sioux County, IA                                  2021        21,797       21,276        521      2.4
CN1916900000000   19     169   Story County, IA                                  2021        57,384       55,683      1,701      3.0
CN1917100000000   19     171   Tama County, IA                                   2021         9,146        8,719        427      4.7
CN1917300000000   19     173   Taylor County, IA                                 2021         3,100        3,003         97      3.1
CN1917500000000   19     175   Union County, IA                                  2021         6,088        5,817        271      4.5
CN1917700000000   19     177   Van Buren County, IA                              2021         3,626        3,489        137      3.8
CN1917900000000   19     179   Wapello County, IA                                2021        16,957       16,117        840      5.0
CN1918100000000   19     181   Warren County, IA                                 2021        28,292       27,235      1,057      3.7
CN1918300000000   19     183   Washington County, IA                             2021        11,446       11,016        430      3.8
CN1918500000000   19     185   Wayne County, IA                                  2021         2,817        2,714        103      3.7
CN1918700000000   19     187   Webster County, IA                                2021        18,473       17,617        856      4.6
CN1918900000000   19     189   Winnebago County, IA                              2021         4,949        4,741        208      4.2
CN1919100000000   19     191   Winneshiek County, IA                             2021        11,385       10,913        472      4.1
CN1919300000000   19     193   Woodbury County, IA                               2021        54,789       52,431      2,358      4.3
CN1919500000000   19     195   Worth County, IA                                  2021         4,016        3,846        170      4.2
CN1919700000000   19     197   Wright County, IA                                 2021         6,679        6,402        277      4.1
CN2000100000000   20     001   Allen County, KS                                  2021         6,524        6,326        198      3.0
CN2000300000000   20     003   Anderson County, KS                               2021         4,655        4,540        115      2.5
CN2000500000000   20     005   Atchison County, KS                               2021         6,742        6,485        257      3.8
CN2000700000000   20     007   Barber County, KS                                 2021         2,301        2,257         44      1.9
CN2000900000000   20     009   Barton County, KS                                 2021        13,371       12,983        388      2.9
CN2001100000000   20     011   Bourbon County, KS                                2021         6,513        6,272        241      3.7
CN2001300000000   20     013   Brown County, KS                                  2021         5,143        5,006        137      2.7
CN2001500000000   20     015   Butler County, KS                                 2021        32,456       31,315      1,141      3.5
CN2001700000000   20     017   Chase County, KS                                  2021         1,385        1,352         33      2.4
CN2001900000000   20     019   Chautauqua County, KS                             2021         1,458        1,399         59      4.0
CN2002100000000   20     021   Cherokee County, KS                               2021         9,907        9,617        290      2.9
CN2002300000000   20     023   Cheyenne County, KS                               2021         1,299        1,276         23      1.8
CN2002500000000   20     025   Clark County, KS                                  2021         1,139        1,118         21      1.8
CN2002700000000   20     027   Clay County, KS                                   2021         3,795        3,698         97      2.6
CN2002900000000   20     029   Cloud County, KS                                  2021         3,902        3,794        108      2.8
CN2003100000000   20     031   Coffey County, KS                                 2021         3,960        3,832        128      3.2
CN2003300000000   20     033   Comanche County, KS                               2021           891          872         19      2.1
CN2003500000000   20     035   Cowley County, KS                                 2021        16,678       16,106        572      3.4
CN2003700000000   20     037   Crawford County, KS                               2021        18,935       18,334        601      3.2
CN2003900000000   20     039   Decatur County, KS                                2021         1,205        1,174         31      2.6
CN2004100000000   20     041   Dickinson County, KS                              2021         9,097        8,828        269      3.0
CN2004300000000   20     043   Doniphan County, KS                               2021         4,124        4,011        113      2.7
CN2004500000000   20     045   Douglas County, KS                                2021        64,611       62,581      2,030      3.1
CN2004700000000   20     047   Edwards County, KS                                2021         1,464        1,433         31      2.1
CN2004900000000   20     049   Elk County, KS                                    2021         1,158        1,125         33      2.8
CN2005100000000   20     051   Ellis County, KS                                  2021        17,158       16,826        332      1.9
CN2005300000000   20     053   Ellsworth County, KS                              2021         2,701        2,641         60      2.2
CN2005500000000   20     055   Finney County, KS                                 2021        20,305       19,877        428      2.1
CN2005700000000   20     057   Ford County, KS                                   2021        17,686       17,309        377      2.1
CN2005900000000   20     059   Franklin County, KS                               2021        14,521       14,069        452      3.1
CN2006100000000   20     061   Geary County, KS                                  2021        11,402       10,916        486      4.3
CN2006300000000   20     063   Gove County, KS                                   2021         1,465        1,437         28      1.9
CN2006500000000   20     065   Graham County, KS                                 2021         1,132        1,099         33      2.9
CN2006700000000   20     067   Grant County, KS                                  2021         2,963        2,873         90      3.0
CN2006900000000   20     069   Gray County, KS                                   2021         3,229        3,174         55      1.7
CN2007100000000   20     071   Greeley County, KS                                2021           822          812         10      1.2
CN2007300000000   20     073   Greenwood County, KS                              2021         3,011        2,926         85      2.8
CN2007500000000   20     075   Hamilton County, KS                               2021         1,620        1,598         22      1.4
CN2007700000000   20     077   Harper County, KS                                 2021         2,774        2,701         73      2.6
CN2007900000000   20     079   Harvey County, KS                                 2021        16,918       16,421        497      2.9
CN2008100000000   20     081   Haskell County, KS                                2021         2,223        2,183         40      1.8
CN2008300000000   20     083   Hodgeman County, KS                               2021         1,036        1,017         19      1.8
CN2008500000000   20     085   Jackson County, KS                                2021         7,236        7,048        188      2.6
CN2008700000000   20     087   Jefferson County, KS                              2021        10,332       10,025        307      3.0
CN2008900000000   20     089   Jewell County, KS                                 2021         1,235        1,208         27      2.2
CN2009100000000   20     091   Johnson County, KS                                2021       343,991      334,751      9,240      2.7
CN2009300000000   20     093   Kearny County, KS                                 2021         2,048        2,015         33      1.6
CN2009500000000   20     095   Kingman County, KS                                2021         3,272        3,172        100      3.1
CN2009700000000   20     097   Kiowa County, KS                                  2021         1,220        1,194         26      2.1
CN2009900000000   20     099   Labette County, KS                                2021         9,413        9,093        320      3.4
CN2010100000000   20     101   Lane County, KS                                   2021           747          732         15      2.0
CN2010300000000   20     103   Leavenworth County, KS                            2021        36,842       35,624      1,218      3.3
CN2010500000000   20     105   Lincoln County, KS                                2021         1,689        1,652         37      2.2
CN2010700000000   20     107   Linn County, KS                                   2021         4,331        4,145        186      4.3
CN2010900000000   20     109   Logan County, KS                                  2021         1,632        1,606         26      1.6
CN2011100000000   20     111   Lyon County, KS                                   2021        16,921       16,440        481      2.8
CN2011300000000   20     113   McPherson County, KS                              2021        17,164       16,802        362      2.1
CN2011500000000   20     115   Marion County, KS                                 2021         6,005        5,860        145      2.4
CN2011700000000   20     117   Marshall County, KS                               2021         5,436        5,331        105      1.9
CN2011900000000   20     119   Meade County, KS                                  2021         2,187        2,139         48      2.2
CN2012100000000   20     121   Miami County, KS                                  2021        17,750       17,231        519      2.9
CN2012300000000   20     123   Mitchell County, KS                               2021         3,434        3,367         67      2.0
CN2012500000000   20     125   Montgomery County, KS                             2021        14,715       14,140        575      3.9
CN2012700000000   20     127   Morris County, KS                                 2021         3,053        2,981         72      2.4
CN2012900000000   20     129   Morton County, KS                                 2021         1,135        1,106         29      2.6
CN2013100000000   20     131   Nemaha County, KS                                 2021         5,553        5,455         98      1.8
CN2013300000000   20     133   Neosho County, KS                                 2021         6,093        5,834        259      4.3
CN2013500000000   20     135   Ness County, KS                                   2021         1,312        1,283         29      2.2
CN2013700000000   20     137   Norton County, KS                                 2021         2,669        2,622         47      1.8
CN2013900000000   20     139   Osage County, KS                                  2021         8,001        7,764        237      3.0
CN2014100000000   20     141   Osborne County, KS                                2021         1,961        1,925         36      1.8
CN2014300000000   20     143   Ottawa County, KS                                 2021         2,967        2,885         82      2.8
CN2014500000000   20     145   Pawnee County, KS                                 2021         2,831        2,768         63      2.2
CN2014700000000   20     147   Phillips County, KS                               2021         2,637        2,581         56      2.1
CN2014900000000   20     149   Pottawatomie County, KS                           2021        12,242       11,935        307      2.5
CN2015100000000   20     151   Pratt County, KS                                  2021         4,913        4,803        110      2.2
CN2015300000000   20     153   Rawlins County, KS                                2021         1,632        1,606         26      1.6
CN2015500000000   20     155   Reno County, KS                                   2021        29,772       28,825        947      3.2
CN2015700000000   20     157   Republic County, KS                               2021         2,356        2,302         54      2.3
CN2015900000000   20     159   Rice County, KS                                   2021         5,315        5,187        128      2.4
CN2016100000000   20     161   Riley County, KS                                  2021        33,731       32,789        942      2.8
CN2016300000000   20     163   Rooks County, KS                                  2021         2,437        2,378         59      2.4
CN2016500000000   20     165   Rush County, KS                                   2021         1,583        1,545         38      2.4
CN2016700000000   20     167   Russell County, KS                                2021         3,361        3,280         81      2.4
CN2016900000000   20     169   Saline County, KS                                 2021        29,373       28,494        879      3.0
CN2017100000000   20     171   Scott County, KS                                  2021         2,833        2,788         45      1.6
CN2017300000000   20     173   Sedgwick County, KS                               2021       255,086      243,391     11,695      4.6
CN2017500000000   20     175   Seward County, KS                                 2021         9,863        9,588        275      2.8
CN2017700000000   20     177   Shawnee County, KS                                2021        91,236       88,399      2,837      3.1
CN2017900000000   20     179   Sheridan County, KS                               2021         1,465        1,438         27      1.8
CN2018100000000   20     181   Sherman County, KS                                2021         2,856        2,784         72      2.5
CN2018300000000   20     183   Smith County, KS                                  2021         2,012        1,977         35      1.7
CN2018500000000   20     185   Stafford County, KS                               2021         1,980        1,936         44      2.2
CN2018700000000   20     187   Stanton County, KS                                2021         1,108        1,087         21      1.9
CN2018900000000   20     189   Stevens County, KS                                2021         2,884        2,824         60      2.1
CN2019100000000   20     191   Sumner County, KS                                 2021        10,735       10,293        442      4.1
CN2019300000000   20     193   Thomas County, KS                                 2021         4,259        4,181         78      1.8
CN2019500000000   20     195   Trego County, KS                                  2021         1,419        1,389         30      2.1
CN2019700000000   20     197   Wabaunsee County, KS                              2021         3,711        3,620         91      2.5
CN2019900000000   20     199   Wallace County, KS                                2021           887          872         15      1.7
CN2020100000000   20     201   Washington County, KS                             2021         3,063        3,010         53      1.7
CN2020300000000   20     203   Wichita County, KS                                2021         1,179        1,156         23      2.0
CN2020500000000   20     205   Wilson County, KS                                 2021         3,837        3,683        154      4.0
CN2020700000000   20     207   Woodson County, KS                                2021         1,528        1,475         53      3.5
